% Model:              phononic_alp0(thickness200,r85,isotrope,50eigenvalues-Size60).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 1 2024, 13:54
% Dimension:          1
% Nodes:              1891
% Expressions:        50
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
0,0,0,3077.7270056897514,9.660881104352894E9,9.660887608337296E9,1.5023555643998156E10,1.7616203323701733E10,1.76162403836623E10,1.8878762388229885E10,1.8981605329069336E10,1.9580411506380527E10,1.958052366923836E10,2.1173400471225555E10,2.117353698529103E10,2.2278375654219254E10,2.388743121750902E10,2.3887462774640392E10,2.529205817239305E10,2.74270125586603E10,2.7427140747517483E10,2.7439256866735935E10,2.863663267220506E10,2.863675223515534E10,2.8750896625128323E10,2.937566139193493E10,2.940776564431849E10,3.0486716378312275E10,3.062545472872822E10,3.0888016069369637E10,3.088808642807867E10,3.4255573616947823E10,3.701574614384551E10,3.7016500206988144E10,3.730355370531121E10,3.7452918895474945E10,3.767183570713615E10,3.767185312085101E10,3.803736510770814E10,3.819757842053868E10,3.822086395610015E10,3.865896530085288E10,3.866061911529163E10,3.981454987259022E10,3.98147897901003E10,3.987518283362086E10,4.287482815372725E10,4.386122899130333E10,4.3862899528246864E10,4.46091497306937E10,4.460979428457463E10
261799.38779914944,4079758.0241158293,7.920395246483378E7,2.706919917818823E8,9.661503884387259E9,9.663331024951828E9,1.5016101657044888E10,1.761561116538828E10,1.7618737792585445E10,1.8869388510822792E10,1.8979881944691814E10,1.9580386827087402E10,1.9586366225435246E10,2.1174295390483883E10,2.1183038970965916E10,2.227832808023972E10,2.388723489733584E10,2.3887762411609615E10,2.5291578760083305E10,2.731723804789101E10,2.7427498562120495E10,2.7546530848625885E10,2.8605390335740364E10,2.8635727829038914E10,2.8785285113811058E10,2.9376704014903652E10,2.9410676821636993E10,3.048631415348474E10,3.0613991688130833E10,3.0888736159731102E10,3.0903135140063927E10,3.4254898686792305E10,3.69871658714794E10,3.7005723528588455E10,3.731330957483271E10,3.747561148879553E10,3.7667024062579735E10,3.767091974868144E10,3.799424350997325E10,3.820061599555464E10,3.820878564788429E10,3.8671181382712456E10,3.870490547359768E10,3.9782888340077156E10,3.981515965242786E10,3.9907481719048294E10,4.287302810529571E10,4.385496243269616E10,4.38594331388826E10,4.459983710363879E10,4.460953303450929E10
523598.7755982989,1.6298358163906673E7,1.5843118969340122E8,5.412884691758558E8,9.663362647788948E9,9.670643951845823E9,1.4993921060811092E10,1.7613781997980568E10,1.762616673705264E10,1.8841731315492054E10,1.897472478143157E10,1.958015107468531E10,1.960399676854166E10,2.1176777708502487E10,2.1211281968465324E10,2.2278181269149513E10,2.3886603168248127E10,2.3888706618159863E10,2.5290144111582253E10,2.7199448315563747E10,2.7428755354770706E10,2.7656554692950703E10,2.8549659723665413E10,2.8632849105166866E10,2.8850265263743675E10,2.937981734721179E10,2.9419478851997772E10,3.048511275089325E10,3.0585531209510227E10,3.089078918689875E10,3.0942459136011917E10,3.4252874035354416E10,3.691369006013428E10,3.697802567194119E10,3.733900189303156E10,3.753001109991826E10,3.7646788836269485E10,3.766802761048946E10,3.7896975029495995E10,3.8175902217545235E10,3.821000961560408E10,3.870218687298393E10,3.881385451815044E10,3.973319274702583E10,3.981665748820962E10,3.995878022168279E10,4.286758987422736E10,4.3834455888022224E10,4.3851108959090485E10,4.457751132722191E10,4.460967954696221E10
785398.1633974484,3.659423912077003E7,2.3770487838042292E8,8.116936260786928E8,9.666461103702301E9,9.68274244681497E9,1.4957536742925905E10,1.761074156160798E10,1.763817325834521E10,1.8797079332212086E10,1.8966172659850826E10,1.9579772644038605E10,1.9633171801042904E10,2.1180915462961098E10,2.1256906569121822E10,2.2277923049324036E10,2.3885559005919212E10,2.389027993240453E10,2.5287764950071056E10,2.7079895656026962E10,2.743082039879183E10,2.7762928907818493E10,2.849133478762173E10,2.8628101810827175E10,2.892397306442782E10,2.938495896301414E10,2.943437225511078E10,3.0483127654176476E10,3.054950061601641E10,3.089420471830013E10,3.0996599640360195E10,3.4249500108689445E10,3.681546136994192E10,3.693951721110826E10,3.7374013192413536E10,3.7586600114188805E10,3.7595467651335976E10,3.766278415038007E10,3.780542168046375E10,3.812907632793049E10,3.822654576157748E10,3.8746291096048035E10,3.895136274714266E10,3.968225633101441E10,3.981925234772883E10,4.001255501017654E10,4.285840125112081E10,4.3800729817607735E10,4.383796003530614E10,4.454954081421725E10,4.460993427205936E10
1047197.5511965977,6.4866307205925435E7,3.170479487478125E8,1.081811072119848E9,9.67080003299486E9,9.699493536685553E9,1.4907755161815767E10,1.760650238119413E10,1.765425754171722E10,1.8737281650313564E10,1.895428979072185E10,1.957927412295618E10,1.9673581894268127E10,2.118671085508087E10,2.1318056892821316E10,2.2277533450856823E10,2.3884116275203514E10,2.389248080859262E10,2.52844590084149E10,2.6958956331631996E10,2.7433649957185158E10,2.786494202547269E10,2.8434217450458164E10,2.862155769271814E10,2.9002557757419746E10,2.939206190032142E10,2.9455673469859524E10,3.0480383625442696E10,3.0511698597568893E10,3.089897562617554E10,3.1059763021642757E10,3.4244777764450592E10,3.670357519002888E10,3.6895042804589096E10,3.741324865374336E10,3.746377169211229E10,3.765444553026007E10,3.765967522676763E10,3.775963616824203E10,3.807453307499669E10,3.825130018974861E10,3.879803077541765E10,3.910005873137698E10,3.963218950869243E10,3.982309394808911E10,4.006694934836706E10,4.2845282339872925E10,4.375472047609074E10,4.3820652679351265E10,4.451869590442829E10,4.461029171225025E10
1308996.9389957471,1.0097611506338957E8,3.9648297528101546E8,1.3515435383782322E9,9.676380510713669E9,9.720714208739944E9,1.4845586055628267E10,1.7601081958690887E10,1.7673827338773216E10,1.8664438067386986E10,1.893916506468558E10,1.9578686205181564E10,1.9724806038230675E10,2.1194167003221436E10,2.1392623879214165E10,2.2276985168054935E10,2.3882293592733395E10,2.38953074597967E10,2.528025082397795E10,2.6836923798734825E10,2.743718417254994E10,2.7961870412977394E10,2.8379227425006893E10,2.8613310092551945E10,2.908503220951245E10,2.940103961395665E10,2.948378457163617E10,3.047499981846258E10,3.047691472558299E10,3.0905095669399086E10,3.1129078718159725E10,3.423870843560492E10,3.658318790148075E10,3.684741560528769E10,3.730284462035004E10,3.745354487297132E10,3.764174133282148E10,3.7716374392670044E10,3.774237720411506E10,3.801704000473059E10,3.828517774207037E10,3.88539215188886E10,3.925264750281728E10,3.9583856109632835E10,3.982839690886036E10,4.012145892039002E10,4.282799711817863E10,4.369748750503018E10,4.380009651001288E10,4.448610584390731E10,4.461075059202731E10
1570796.3267948967,1.447507515642126E8,4.760320562204561E8,1.6207925805926132E9,9.683203894053741E9,9.746174369828085E9,1.477215692801472E10,1.759450284958932E10,1.769627034994881E10,1.858064105333903E10,1.8920911097120827E10,1.957804735520653E10,1.97863244684362E10,2.1203288506352066E10,2.147850299060124E10,2.2276244184435936E10,2.388011406810054E10,2.3898757735953224E10,2.5275171458004383E10,2.671404343107178E10,2.7441348433241264E10,2.8052989327780525E10,2.8326643530828026E10,2.8603468147512962E10,2.9171032595994823E10,2.9411791777419483E10,2.9519145380976147E10,3.044088110158505E10,3.0472756749947254E10,3.0912563072327713E10,3.120307743123197E10,3.423129435549661E10,3.645683253179188E10,3.679821940292967E10,3.7125702928431404E10,3.749286240352444E10,3.762267847784232E10,3.7735112469149315E10,3.7762668601574005E10,3.796065198818007E10,3.8328279745463844E10,3.891191651186547E10,3.940578349568822E10,3.953794792195094E10,3.98354441721195E10,4.0175859524094604E10,4.280627091780845E10,4.363017912486608E10,4.3777293612602196E10,4.445236115812935E10,4.4611309966546E10
1832595.7145940461,1.9598630042348245E8,5.557166913410126E8,1.8894582790917878E9,9.691271803967966E9,9.77560041055174E9,1.4688636329528427E10,1.7586792697207954E10,1.7721013621925865E10,1.8487811693422592E10,1.889966306184209E10,1.95774031623982E10,1.985753590120002E10,2.121408185538786E10,2.1573758089052094E10,2.2275270539105885E10,2.387760478052416E10,2.3902829206698875E10,2.526925814581771E10,2.659052338386268E10,2.74460551191914E10,2.813762543361043E10,2.8276540336641045E10,2.859215094297116E10,2.926038293656075E10,2.9424210177496124E10,2.9562166876612736E10,3.041017349918206E10,3.046795796118811E10,3.0921384880067318E10,3.1280924889397785E10,3.4222538835715755E10,3.632588760308277E10,3.674839058790597E10,3.694020852322961E10,3.752970440855821E10,3.7594556527760124E10,3.773172749801294E10,3.7797983689854675E10,3.790929164637012E10,3.837947358011216E10,3.897081135620761E10,3.949516536540637E10,3.955772483133515E10,3.984458935978745E10,4.023002522593462E10,4.277981403752902E10,4.355395863783867E10,4.37532531236358E10,4.4417830618785835E10,4.461196819728822E10
2094395.1023931955,2.5445170692117068E8,6.355576575456004E8,2.157438934765518E9,9.700586102299475E9,9.808679222465696E9,1.4596173914108294E10,1.7577984254765617E10,1.774756294174708E10,1.8387623569006313E10,1.887557734997698E10,1.9576805590021633E10,1.9937777997801266E10,2.1226555840327896E10,2.1676697339103973E10,2.2274019209501842E10,2.387479617637811E10,2.3907519298629967E10,2.5262553885086983E10,2.6466541640609024E10,2.745120570738599E10,2.8215225651840393E10,2.822890982007201E10,2.857948219366858E10,2.935297477308948E10,2.9438184102592663E10,2.9613150459472683E10,3.038340372914382E10,3.046256743355001E10,3.0931582180515617E10,3.136208877900029E10,3.4212446588101925E10,3.619117926590705E10,3.6698521689929695E10,3.6749427096121925E10,3.755471675867059E10,3.7562820690425575E10,3.7730185704683395E10,3.782332380778566E10,3.786636900755969E10,3.843653561805925E10,3.902987530360691E10,3.9456259305580345E10,3.9707445363373375E10,3.985625577755869E10,4.028387858419442E10,4.274835037790097E10,4.346995136870613E10,4.3728925121888E10,4.4382759917882195E10,4.4612723927139854E10
2356194.490192345,3.1989288657794094E8,7.155748817074566E8,2.424630760485562E9,9.71114886447715E9,9.845062514981041E9,1.449585936754722E10,1.7568115390251858E10,1.777552181908999E10,1.8281487608829597E10,1.8848830089395893E10,1.95763121621309E10,2.0026349349249447E10,2.124072193520926E10,2.17858880754969E10,2.2272441082708775E10,2.387172142648054E10,2.391282548919501E10,2.5255106970271255E10,2.634225150725628E10,2.745669320412712E10,2.8183704608817066E10,2.8285427152334644E10,2.8565585833399338E10,2.9448724375085754E10,2.9453605847895603E10,2.9672205054611538E10,3.036093457530641E10,3.0456641640588966E10,3.094319645735488E10,3.1446189208150578E10,3.4201024080169697E10,3.605324474357719E10,3.65548458947333E10,3.664901270651446E10,3.750205374944875E10,3.7591075036486465E10,3.772967792312779E10,3.783347308336465E10,3.784042987117841E10,3.8496736662425415E10,3.908864790941093E10,3.942203039021976E10,3.985426445363091E10,3.987092896335651E10,4.033737224027703E10,4.271164815264006E10,4.3379216006060936E10,4.370515068902039E10,4.434730161114546E10,4.461357493796412E10
2617993.8779914943,3.920369155496662E8,7.957873101658561E8,2.690927567516079E9,9.722962347661472E9,9.88437128732414E9,1.4388698317779997E10,1.7557229066633373E10,1.780459391021188E10,1.817057062337617E10,1.881961555576546E10,1.9575985120838818E10,2.0122531010694683E10,2.1256594634711838E10,2.1900137900091675E10,2.227048398613758E10,2.3868415771859646E10,2.391874557642033E10,2.5246970481765415E10,2.6217786094064766E10,2.746240485358031E10,2.814085636149952E10,2.83481094308367E10,2.8550582670896347E10,2.9470368626279938E10,2.9547561418001827E10,2.973917881239771E10,3.034303381851767E10,3.0450247296732033E10,3.0956297611556908E10,3.1532926216763657E10,3.4188279910986256E10,3.5912458154374916E10,3.635733146354013E10,3.660014862797674E10,3.743775112444309E10,3.7613401766300705E10,3.772983330127321E10,3.780974693471647E10,3.785110381156133E10,3.855740931821036E10,3.914682796521557E10,3.939330301791505E10,3.988913899300593E10,3.99976739508596E10,4.0390480462874466E10,4.2669548077864395E10,4.328273674246179E10,4.3682627548593864E10,4.431151770089797E10,4.4614518453933525E10
2879793.2657906436,4.705961579380855E8,8.76212774205541E8,2.9562204466074595E9,9.736028954178162E9,9.926200328925117E9,1.4275601494588793E10,1.7545373289947292E10,1.783457437922006E10,1.805582804329833E10,1.878814449977563E10,1.9575890584070816E10,2.022560581467561E10,2.1274191719447296E10,2.2018461454960133E10,2.226809374813621E10,2.386491588370973E10,2.3925278055687725E10,2.523820173849444E10,2.609326202632293E10,2.7468225051550766E10,2.8100284797867798E10,2.8403411566596703E10,2.853458809385585E10,2.9488380496601753E10,2.9649409980222244E10,2.98136185584664E10,3.032990735599397E10,3.044347049547872E10,3.0970994561016914E10,3.162204104177668E10,3.4174225192692112E10,3.576909581623352E10,3.6157470410121925E10,3.655214103922952E10,3.736425146626123E10,3.762881604689372E10,3.7730464013297066E10,3.7792979669568535E10,3.785687316427747E10,3.861624921143014E10,3.9204211256782E10,3.93708775619327E10,3.991142894493204E10,4.013724602600969E10,4.044319458468747E10,4.262198392352289E10,4.318143144639415E10,4.366189153991264E10,4.4275366242370125E10,4.4615550939438095E10
