% Model:              phononic_alp0(thickness200,r85,isotrope,full_FBZ).mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 3 2024, 18:46
% Dimension:          1
% Nodes:              14641
% Expressions:        8
% Description:        Global
% X component of wave number (1/m),Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency,Frequency
-1.5707963267948963E7,3.2518404602541656E9,1.010265360724429E10,1.0506305604144321E10,1.0506308698180624E10,1.0578654222051582E10,1.3631325539065823E10,1.3631332497637665E10,1.898831744033127E10
-1.5707963267948963E7,3.25650090071411E9,1.0098788264999758E10,1.040314523498143E10,1.0511242338763737E10,1.0681078329158218E10,1.3624860045702133E10,1.3630422883232187E10,1.8971801800574577E10
-1.5707963267948963E7,3.270438439346265E9,1.0087722483723091E10,1.0270436100711893E10,1.0525512954631208E10,1.081156781751683E10,1.3605492382653568E10,1.3627701896934168E10,1.893460348845309E10
-1.5707963267948963E7,3.2935235733578286E9,1.0070770645939596E10,1.0135844695913755E10,1.0547799559999151E10,1.0942429998456154E10,1.3573333276464958E10,1.3623168046524216E10,1.8889665936225433E10
-1.5707963267948963E7,3.325546433727806E9,1.0000724353349861E10,1.0049481124466927E10,1.057654385551616E10,1.107226668529031E10,1.35285605024155E10,1.3616823014505234E10,1.8841670711576714E10
-1.5707963267948963E7,3.3662251316570663E9,9.865503844280575E9,1.0025235512067225E10,1.0610350367332079E10,1.120058606347028E10,1.3471417583876331E10,1.3608669151377083E10,1.879226904118666E10
-1.5707963267948963E7,3.4152163356392865E9,9.730448136205482E9,9.999107578371613E9,1.064812750740327E10,1.1327041724294266E10,1.3402208656735556E10,1.3598709468812382E10,1.8742168677908916E10
-1.5707963267948963E7,3.472127190713243E9,9.59577211681169E9,9.971878015430925E9,1.0689072847595074E10,1.1451318735231205E10,1.3321292193136797E10,1.3586947632340305E10,1.8691735178624847E10
-1.5707963267948963E7,3.5365276895161934E9,9.461669894643824E9,9.944098979246426E9,1.0732608602575043E10,1.1573104182527914E10,1.3229073833646524E10,1.357338795322846E10,1.8641188562276764E10
-1.5707963267948963E7,3.607962707054705E9,9.328325042832315E9,9.916158242280312E9,1.0778317504770681E10,1.1692076884432697E10,1.3125998619977837E10,1.3558035379974325E10,1.8590678272566776E10
-1.5707963267948963E7,3.685963081934702E9,9.195915040922817E9,9.888328874582243E9,1.0825893153560717E10,1.1807903099058544E10,1.3012542945123878E10,1.3540895489962458E10,1.854031560058287E10
-1.5707963267948963E7,3.7700553265005317E9,9.064613552964989E9,9.860804389262045E9,1.0875104902372225E10,1.192023468521656E10,1.2889206538652773E10,1.3521974481952814E10,1.8490189226183266E10
-1.5707963267948963E7,3.859769742821956E9,8.934591757828787E9,9.83372277743257E9,1.0925773857935207E10,1.20287086139023E10,1.275650478113821E10,1.3501279170184998E10,1.844037330928214E10
-1.5707963267948963E7,3.95464688724899E9,8.806019198866814E9,9.807182808873981E9,1.0977756614763615E10,1.213294749261624E10,1.2614961596824373E10,1.3478816981003107E10,1.839093201617791E10
-1.5707963267948963E7,4.0542424516777806E9,8.679064351417398E9,9.781255134761585E9,1.1030934187810116E10,1.2232561044949242E10,1.2465103114391806E10,1.3454595953041008E10,1.8341922257180195E10
